p164.cli                                           
    2         1
.26820E+06
  5    0.20000E-05 0.10000E-04 0.30000E-04 0.49000E-03 0.20000E-03
NO EVENT      1   364
NO EVENT      1   365
NO EVENT      2     1
NO EVENT      2     2
EVENT         2     3      0.43200E+05 0.24106E+01 0.46274E+00 0.15760E-01 0.42268E+04 0.17554E-06 0.47079E-01 0.00000E+00 0.00000E+00 0.22538E+00      0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00      0.00000E+00 0.00000E+00 0.63700E-01 0.25000E+00 0.44100E+00
     0.22960E+00 0.15701E-01
NO EVENT      2     4
NO EVENT      2     5
NO EVENT      2     6
NO EVENT      2     7
NO EVENT      2     8
NO EVENT      2     9
NO EVENT      2    10
NO EVENT      2    11
NO EVENT      2    12
NO EVENT      2    13
NO EVENT      2    14
NO EVENT      2    15
NO EVENT      2    16
NO EVENT      2    17
NO EVENT      2    18
NO EVENT      2    19
NO EVENT      2    20
NO EVENT      2    21
NO EVENT      2    22
NO EVENT      2    23
NO EVENT      2    24
NO EVENT      2    25
NO EVENT      2    26
NO EVENT      2    27
NO EVENT      2    28
NO EVENT      2    29
NO EVENT      2    30
NO EVENT      2    31
NO EVENT      2    32
NO EVENT      2    33
NO EVENT      2    34
NO EVENT      2    35
NO EVENT      2    36
NO EVENT      2    37
NO EVENT      2    38
NO EVENT      2    39
NO EVENT      2    40
NO EVENT      2    41
NO EVENT      2    42
NO EVENT      2    43
NO EVENT      2    44
NO EVENT      2    45
NO EVENT      2    46
NO EVENT      2    47
NO EVENT      2    48
NO EVENT      2    49
NO EVENT      2    50
NO EVENT      2    51
NO EVENT      2    52
NO EVENT      2    53
NO EVENT      2    54
NO EVENT      2    55
NO EVENT      2    56
NO EVENT      2    57
NO EVENT      2    58
NO EVENT      2    59
NO EVENT      2    60
NO EVENT      2    61
NO EVENT      2    62
NO EVENT      2    63
NO EVENT      2    64
EVENT         2    65      0.72000E+04 0.14707E+01 0.47943E+00 0.22883E-01 0.61371E+04 0.56034E-07 0.15028E-01 0.00000E+00 0.00000E+00 0.55573E+00      0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00      0.00000E+00 0.00000E+00 0.63700E-01 0.25000E+00 0.44100E+00
     0.22960E+00 0.15701E-01
NO EVENT      2    66
NO EVENT      2    67
NO EVENT      2    68
NO EVENT      2    69
NO EVENT      2    70
EVENT         2    71      0.11340E+05 0.19878E+01 0.25192E+00 0.61063E-02 0.16377E+04 0.10779E-06 0.28909E-01 0.00000E+00 0.00000E+00 0.57653E-01      0.28565E+04 -.19924E+04 0.10868E+00 0.91051E-01 0.31392E+00      0.13959E-01 0.48747E-04 0.20596E+00 0.17256E+00 0.59493E+00
     0.26455E-01 0.92383E-04
NO EVENT      2    72
NO EVENT      2    73
NO EVENT      2    74
NO EVENT      2    75
NO EVENT      2    76
NO EVENT      2    77
NO EVENT      2    78
NO EVENT      2    79
NO EVENT      2    80
NO EVENT      2    81
NO EVENT      2    82
NO EVENT      2    83
NO EVENT      2    84
NO EVENT      2    85
NO EVENT      2    86
NO EVENT      2    87
NO EVENT      2    88
NO EVENT      2    89
NO EVENT      2    90
NO EVENT      2    91
NO EVENT      2    92
NO EVENT      2    93
EVENT         2    94      0.13356E+05 0.21876E+01 0.22325E+00 0.39162E-02 0.10503E+04 0.19385E-06 0.51991E-01 0.00000E+00 0.00000E+00 0.29774E-01      0.60854E+03 -.20194E+03 0.46089E-01 0.69798E-01 0.26857E+00      0.26620E-02 0.58634E-07 0.11906E+00 0.18030E+00 0.69377E+00
     0.68765E-02 0.15146E-06
NO EVENT      2    95
NO EVENT      2    96
NO EVENT      2    97
NO EVENT      2    98
NO EVENT      2    99
NO EVENT      2   100
NO EVENT      2   101
NO EVENT      2   102
NO EVENT      2   103
NO EVENT      2   104
NO EVENT      2   105
NO EVENT      2   106
NO EVENT      2   107
NO EVENT      2   108
NO EVENT      2   109
NO EVENT      2   110
NO EVENT      2   111
NO EVENT      2   112
NO EVENT      2   113
NO EVENT      2   114
NO EVENT      2   115
NO EVENT      2   116
NO EVENT      2   117
NO EVENT      2   118
NO EVENT      2   119
NO EVENT      2   120
NO EVENT      2   121
NO EVENT      2   122
NO EVENT      2   123
NO EVENT      2   124
NO EVENT      2   125
NO EVENT      2   126
NO EVENT      2   127
NO EVENT      2   128
NO EVENT      2   129
NO EVENT      2   130
NO EVENT      2   131
NO EVENT      2   132
NO EVENT      2   133
NO EVENT      2   134
NO EVENT      2   135
NO EVENT      2   136
NO EVENT      2   137
NO EVENT      2   138
NO EVENT      2   139
NO EVENT      2   140
NO EVENT      2   141
NO EVENT      2   142
NO EVENT      2   143
NO EVENT      2   144
EVENT         2   145      0.11556E+05 0.17646E+01 0.15197E+00 0.18262E-02 0.48979E+03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.11718E-01      0.28241E+04 -.22280E+04 0.22157E+00 0.18582E+00 0.75525E+00      0.54041E-01 0.42609E-03 0.18205E+00 0.15267E+00 0.62053E+00
     0.44401E-01 0.35009E-03
NO EVENT      2   146
EVENT         2   147      0.11628E+05 0.13606E+01 0.25227E+00 0.84358E-02 0.22625E+04 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.11653E+00      0.23626E+05 -.18666E+05 0.60658E+00 0.39242E+00 0.10628E+01      0.12752E+00 0.29966E-02 0.27669E+00 0.17900E+00 0.48478E+00
     0.58166E-01 0.13669E-02
NO EVENT      2   148
NO EVENT      2   149
NO EVENT      2   150
NO EVENT      2   151
NO EVENT      2   152
NO EVENT      2   153
NO EVENT      2   154
NO EVENT      2   155
NO EVENT      2   156
EVENT         2   157      0.63720E+04 0.15635E+01 0.15721E+00 0.13933E-02 0.37370E+03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.10437E-01      0.21831E+04 -.16799E+04 0.22557E+00 0.20757E+00 0.85093E+00      0.62000E-01 0.50521E-03 0.16751E+00 0.15415E+00 0.63193E+00
     0.46043E-01 0.37518E-03
NO EVENT      2   158
NO EVENT      2   159
NO EVENT      2   160
NO EVENT      2   161
NO EVENT      2   162
NO EVENT      2   163
NO EVENT      2   164
NO EVENT      2   165
NO EVENT      2   166
NO EVENT      2   167
NO EVENT      2   168
NO EVENT      2   169
NO EVENT      2   170
NO EVENT      2   171
NO EVENT      2   172
NO EVENT      2   173
NO EVENT      2   174
NO EVENT      2   175
NO EVENT      2   176
NO EVENT      2   177
NO EVENT      2   178
NO EVENT      2   179
NO EVENT      2   180
NO EVENT      2   181
NO EVENT      2   182
NO EVENT      2   183
NO EVENT      2   184
EVENT         2   185      0.82800E+04 0.17758E+01 0.22835E+00 0.10163E-02 0.27256E+03 0.00000E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.97357E-02      0.15439E+04 -.11636E+04 0.22410E+00 0.21626E+00 0.89085E+00      0.63715E-01 0.49966E-03 0.16060E+00 0.15498E+00 0.63841E+00
     0.45660E-01 0.35807E-03
NO EVENT      2   186
NO EVENT      2   187
NO EVENT      2   188
NO EVENT      2   189
NO EVENT      2   190
NO EVENT      2   191
NO EVENT      2   192
NO EVENT      2   193
NO EVENT      2   194
NO EVENT      2   195
NO EVENT      2   196
NO EVENT      2   197
NO EVENT      2   198
NO EVENT      2   199
NO EVENT      2   200
NO EVENT      2   201
NO EVENT      2   202
NO EVENT      2   203
NO EVENT      2   204
NO EVENT      2   205
NO EVENT      2   206
NO EVENT      2   207
NO EVENT      2   208
NO EVENT      2   209
NO EVENT      2   210
NO EVENT      2   211
NO EVENT      2   212
NO EVENT      2   213
NO EVENT      2   214
NO EVENT      2   215
